Município-São Paulo,Codigo Municipio,Ano,Gini,Densidade,% Trab,PIB per capita,Anos Medios de Educação,Investimento em Segurança,Urbanização,População,Homicídio Doloso,Furto,Roubo,Furto e Roubo de Veículo,Crime,Tx.Crime,Tx.Seg
AGUAS DE SAO PEDRO,3500600,2017,0.27380965631391746,605.1851851851851,0.4372705018359853,24753.98587380254,13.659202239328202,484058.855180546,1.0,3268.0,0,21,1,4,26,7.9559363525091795,148120.82471864932
AGUAS DE SAO PEDRO,3500600,2016,0.2859447323698082,593.5185185185185,0.4199687987519501,24707.399182449135,13.765973254086182,411477.06995353394,1.0,3205.0,0,30,2,3,35,10.9204368174727,128385.98126475318
AGUAS DE SAO PEDRO,3500600,2015,0.29273657331431024,581.2962962962963,0.4039503026441542,28890.283130249572,13.563880126182966,398746.07531074504,1.0,3139.0,0,39,2,2,43,13.698630136986301,127029.65126178562
AGUAS DE SAO PEDRO,3500600,2014,0.299500989274989,569.074074074074,0.47575658965180606,31045.30118224415,13.257865937072504,443522.73263711366,1.0,3073.0,0,40,4,6,50,16.270745200130165,144328.90746407863
AGUAS DE SAO PEDRO,3500600,2013,0.3196242746780366,556.2962962962963,0.45472703062583225,27119.683965690452,13.232064421669106,453685.94367032853,1.0,3004.0,0,41,7,5,53,17.643142476697736,151027.2781858617
AGUAS DE SAO PEDRO,3500600,2012,0.33086462688386614,524.4444444444445,0.4293785310734463,25741.786304996596,13.46546052631579,466723.02973053104,1.0,2832.0,0,65,6,7,78,27.54237288135593,164803.3297071084
AGUAS DE SAO PEDRO,3500600,2011,0.29834875648021786,513.1481481481482,0.471670876939733,23992.539889730397,13.342769701606732,397254.4010293606,1.0,2771.0,0,46,3,1,50,18.044027426921687,143361.3861527826
AGUAS DE SAO PEDRO,3500600,2010,0.3146323359824023,500.55555555555554,0.45541990381058084,25657.26,13.388302193338749,346662.89,1.0,2703.0,0,40,3,2,45,16.64816870144284,128251.16167221605
AMERICANA,3501608,2017,0.3321686379544446,1753.1334332833583,0.30718182906596886,28698.443840761985,13.73386692650334,25598634.44472279,0.99827955832758,233868.0,16,3000,733,1343,5076,21.704551285340447,109457.61901894568
AMERICANA,3501608,2016,0.33223076064927143,1736.2893553223387,0.3146951269530828,29726.551913275478,13.71359582933187,20606114.543276317,0.9980271498124905,231621.0,11,2741,976,1387,5104,22.035998463006376,88964.7939663343
AMERICANA,3501608,2015,0.3393024398472184,1719.055472263868,0.3340761025980935,31185.184794577614,13.637871846079545,20134663.35473636,0.9981439246596898,229322.0,8,2503,593,1368,4464,19.46607826549568,87800.83618116169
AMERICANA,3501608,2014,0.33872184275874595,1701.424287856072,0.35580913777151163,36164.21258386805,13.529161197652245,24209460.93806291,0.998012946359474,226970.0,10,2658,715,1373,4746,20.910252456271753,106663.70418144648
AMERICANA,3501608,2013,0.33895014937322404,1683.2908545727137,0.3666605804472035,37795.05801127365,13.457599533607015,21956409.711725533,0.9977528382198394,224551.0,12,2562,732,1253,4547,20.24929748698514,97779.16692299537
AMERICANA,3501608,2012,0.3381340249008494,1610.7421289355323,0.37197786599526234,36288.098551322546,13.2844309878891,20780492.705894053,0.9984608351987476,214873.0,13,2441,766,1281,4488,20.88675636306097,96710.58116140257
AMERICANA,3501608,2011,0.33901304064453697,1595.134932533733,0.3818723536239785,37688.99623170772,13.139061519339396,21199320.22818672,0.998033029312477,212791.0,13,2575,850,1539,4964,23.3280542880103,99625.07920065566
AMERICANA,3501608,2010,0.3410210936517396,1579.4677661169414,0.3860636636750656,34342.93,12.971761900078679,15148743.09,0.9973440998094658,210701.0,10,2300,941,1363,4604,21.850869241247075,71896.87324692337
AMPARO,3501905,2017,0.3330275472308728,159.76885098743267,0.344275420336269,39578.581543808985,13.538147694818441,4289463.128980805,0.9467398868297926,71193.0,1,593,75,87,755,10.604975208236764,60251.19223773132
AMPARO,3501905,2016,0.33511258381561526,158.75673249551167,0.3445477933900653,38025.3162888832,13.634159350127184,4587872.879859013,0.9295308346510213,70742.0,2,648,64,69,781,11.040117610471855,64853.5930544657
AMPARO,3501905,2015,0.33913755786336547,157.71992818671453,0.35569151963574275,33337.138160568546,13.011640931274503,4983465.733191626,0.9255055534112006,70280.0,4,604,71,123,798,11.354581673306773,70908.73268627812
